f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,tag
0,0,0,0,0,0,0,1,0,30,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,48,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,11,0,1,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,1,1,333,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,57,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,133,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,199,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,142,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,42,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,44,0,1,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,1,173,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,273,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,193,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,225,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,204,0,1,0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,14,0,1,0,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,39,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,173,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,74,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1,472,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0,0,0
