f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,tag
0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,1
1,0,1,0,0,0,0,1,0,9,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0,1,70,0,1,0,0,0,1,1,1,0,1
0,1,0,0,0,0,1,0,0,8,0,1,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,180,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,18,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,1
0,1,0,1,0,0,0,1,0,21,0,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,1,0,14,0,1,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,0,1,48,0,0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,1,48,0,0,1,0,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,0,1
0,0,1,0,0,0,0,1,1,5,0,1,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,1,30,0,1,0,0,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
