f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,tag
0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,241,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,751,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,591,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,288,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,133,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,493,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,133,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,142,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,158,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,1,566,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,283,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1
1,1,0,1,1,0,0,1,0,9,0,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,65,0,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,19,0,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,1,1,1,1,1
