f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,tag
0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,246,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,162,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1589,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,369,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,319,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,183,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,178,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,135,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,167,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,238,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,96,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,398,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,21,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,182,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,81,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,1,103,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,95,0,1,0,0,0,1,1,0,1,0
