f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,tag
0,1,0,0,0,0,0,0,0,20,0,0,1,0,0,1,1,0,1,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
1,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,1,1,11,0,1,0,0,0,1,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,1
0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1
0,1,0,0,0,0,0,0,0,9,0,1,0,1,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,1,0,0,0,0,1,1,146,0,1,0,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,0,0,1,0,0,0,0,0,53,0,1,0,0,0,1,1,1,1,1
0,1,1,0,0,0,0,0,1,31,0,1,0,0,0,1,1,0,1,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
