Alcohol, MalicAcid, Ash, AlcalinityOfAsh, Magnesium, TotalPhenols, flavanoids, NonflavanoidsPhenols, Proanthocyanins, ColorIntensity, Hue, OD280/OD315, Proline,tag
13.58, 1.66, 2.36, 19.1, 106.0, 2.86, 3.19, 0.22, 1.9499999999999997, 6.9, 1.09, 2.88, 1515.0, 1
11.56, 2.05, 3.23, 28.5, 119.0, 3.18, 5.08, 0.47, 1.87, 6.0, 0.93, 3.6900000000000004, 465.0, 2
12.37, 1.63, 2.3, 24.5, 88.0, 2.22, 2.45, 0.4, 1.9, 2.12, 0.89, 2.78, 342.0, 2
13.36, 2.56, 2.35, 20.0, 89.0, 1.4, 0.5, 0.37, 0.64, 5.6, 0.7, 2.47, 780.0, 3
13.82, 1.75, 2.42, 14.0, 111.0, 3.88, 3.74, 0.32, 1.87, 7.05, 1.01, 3.26, 1190.0, 1
11.82, 1.72, 1.88, 19.5, 86.0, 2.5, 1.6400000000000001, 0.37, 1.42, 2.06, 0.94, 2.44, 415.0, 2
11.66, 1.88, 1.92, 16.0, 97.0, 1.61, 1.57, 0.33999999999999997, 1.15, 3.8, 1.23, 2.14, 428.0, 2
13.94, 1.73, 2.27, 17.4, 108.0, 2.88, 3.54, 0.32, 2.08, 8.899999999999999, 1.12, 3.1000000000000005, 1260.0, 1
13.58, 2.58, 2.69, 24.5, 105.0, 1.55, 0.8400000000000001, 0.39, 1.54, 8.659999999999998, 0.74, 1.8, 750.0, 3
12.2, 3.0300000000000002, 2.32, 19.0, 96.0, 1.25, 0.49, 0.4, 0.73, 5.5, 0.66, 1.83, 510.0, 3
13.2, 1.78, 2.14, 11.2, 100.0, 2.65, 2.7600000000000002, 0.26, 1.2799999999999998, 4.38, 1.05, 3.4000000000000004, 1050.0, 1
13.16, 3.5700000000000003, 2.15, 21.0, 102.0, 1.5, 0.55, 0.42999999999999994, 1.3, 4.0, 0.6, 1.68, 830.0, 3
13.05, 1.77, 2.1, 17.0, 107.0, 3.0, 3.0000000000000004, 0.28, 2.03, 5.04, 0.88, 3.3500000000000005, 885.0, 1
12.42, 1.61, 2.19, 22.5, 108.0, 2.0, 2.09, 0.33999999999999997, 1.6099999999999999, 2.06, 1.06, 2.96, 345.0, 2
13.11, 1.9, 2.75, 25.5, 116.0, 2.2, 1.28, 0.26, 1.56, 7.1, 0.61, 1.33, 425.0, 3
12.08, 1.33, 2.3, 23.6, 70.0, 2.2, 1.5900000000000003, 0.42000000000000004, 1.38, 1.74, 1.07, 3.21, 625.0, 2
13.69, 3.26, 2.54, 20.0, 107.0, 1.83, 0.56, 0.5, 0.8, 5.88, 0.96, 1.82, 680.0, -1
14.19, 1.59, 2.48, 16.5, 108.0, 3.3, 3.93, 0.32, 1.8599999999999999, 8.7, 1.23, 2.8199999999999994, 1680.0, -1
13.76, 1.53, 2.7, 19.5, 132.0, 2.95, 2.74, 0.5, 1.35, 5.4, 1.25, 3.0, 1235.0, -1
12.08, 2.08, 1.7, 17.5, 97.0, 2.23, 2.17, 0.26, 1.4, 3.3, 1.27, 2.96, 710.0, -1
12.36, 3.83, 2.38, 21.0, 88.0, 2.3, 0.9200000000000002, 0.5, 1.04, 7.65, 0.56, 1.58, 520.0, -1
13.71, 5.65, 2.45, 20.5, 95.0, 1.6799999999999997, 0.61, 0.52, 1.06, 7.7, 0.64, 1.74, 740.0, -1
11.79, 2.13, 2.78, 28.5, 92.0, 2.13, 2.24, 0.58, 1.7599999999999998, 3.0, 0.97, 2.44, 466.0, -1
12.64, 1.36, 2.02, 16.8, 100.0, 2.02, 1.41, 0.53, 0.62, 5.75, 0.98, 1.59, 450.0, -1
13.77, 1.9, 2.68, 17.1, 115.0, 3.0, 2.79, 0.39, 1.6799999999999997, 6.3, 1.13, 2.93, 1375.0, -1
13.49, 3.59, 2.19, 19.5, 88.0, 1.62, 0.48, 0.58, 0.88, 5.7, 0.81, 1.82, 580.0, -1
14.39, 1.87, 2.45, 14.6, 96.0, 2.5, 2.52, 0.3, 1.98, 5.25, 1.02, 3.58, 1290.0, -1
12.93, 2.8100000000000005, 2.7, 21.0, 96.0, 1.54, 0.5, 0.53, 0.75, 4.6, 0.77, 2.31, 600.0, -1
13.5, 3.12, 2.62, 24.0, 123.0, 1.4, 1.57, 0.22, 1.25, 8.6, 0.59, 1.3, 500.0, -1
12.99, 1.67, 2.6, 30.0, 139.0, 3.3, 2.89, 0.21, 1.96, 3.3500000000000005, 1.31, 3.5, 985.0, -1
13.34, 0.94, 2.36, 17.0, 110.0, 2.53, 1.3, 0.55, 0.42, 3.17, 1.02, 1.93, 750.0, -1
13.17, 5.19, 2.32, 22.0, 93.0, 1.7399999999999998, 0.63, 0.61, 1.5499999999999998, 7.8999999999999995, 0.6, 1.48, 725.0, -1
13.4, 3.9099999999999993, 2.48, 23.0, 102.0, 1.7999999999999998, 0.75, 0.42999999999999994, 1.4099999999999997, 7.3, 0.7, 1.56, 750.0, -1
12.25, 3.88, 2.2, 18.5, 112.0, 1.38, 0.78, 0.29, 1.14, 8.21, 0.65, 2.0, 855.0, -1
13.78, 2.76, 2.3, 22.0, 90.0, 1.35, 0.68, 0.4099999999999999, 1.03, 9.58, 0.7, 1.68, 615.0, -1
12.37, 1.21, 2.56, 18.1, 98.0, 2.42, 2.65, 0.37, 2.08, 4.6, 1.19, 2.3, 678.0, -1
13.75, 1.73, 2.41, 16.0, 89.0, 2.6, 2.7600000000000002, 0.29, 1.81, 5.6, 1.15, 2.9000000000000004, 1320.0, -1
12.47, 1.52, 2.2, 19.0, 162.0, 2.5, 2.2699999999999996, 0.32, 3.28, 2.6, 1.16, 2.63, 937.0, -1
13.48, 1.67, 2.64, 22.5, 89.0, 2.6, 1.1, 0.52, 2.29, 11.75, 0.57, 1.78, 620.0, -1
13.05, 2.05, 3.22, 25.0, 124.0, 2.63, 2.68, 0.47, 1.92, 3.58, 1.13, 3.2, 830.0, -1
14.38, 3.59, 2.28, 16.0, 102.0, 3.25, 3.1700000000000004, 0.27, 2.19, 4.9, 1.04, 3.4400000000000004, 1065.0, -1
12.72, 1.75, 2.28, 22.5, 84.0, 1.38, 1.7600000000000002, 0.4800000000000001, 1.63, 3.3, 0.88, 2.42, 488.0, -1
14.21, 4.04, 2.44, 18.9, 111.0, 2.85, 2.65, 0.3, 1.25, 5.24, 0.8700000000000001, 3.33, 1080.0, -1
12.82, 3.37, 2.3, 19.5, 88.0, 1.48, 0.66, 0.4, 0.97, 10.26, 0.72, 1.75, 685.0, -1
13.32, 3.24, 2.38, 21.5, 92.0, 1.9299999999999997, 0.76, 0.45000000000000007, 1.25, 8.419999999999998, 0.55, 1.62, 650.0, -1
12.43, 1.53, 2.29, 21.5, 86.0, 2.74, 3.15, 0.39, 1.77, 3.9400000000000004, 0.69, 2.84, 352.0, -1
13.27, 4.28, 2.26, 20.0, 120.0, 1.59, 0.69, 0.42999999999999994, 1.35, 10.2, 0.59, 1.56, 835.0, -1
11.87, 4.31, 2.39, 21.0, 82.0, 2.86, 3.03, 0.21, 2.91, 2.8, 0.75, 3.6400000000000006, 380.0, -1
